iter	Passed	Remaining
0	32	32717
1	46	23319
2	60	20068
3	76	19167
4	91	18180
5	106	17575
6	120	17121
7	133	16577
8	145	16071
9	158	15722
10	172	15496
11	187	15448
12	201	15324
13	214	15103
14	226	14889
15	238	14687
16	251	14514
17	264	14412
18	276	14285
19	288	14115
20	299	13962
21	312	13892
22	325	13840
23	338	13760
24	350	13676
25	364	13637
26	379	13661
27	393	13659
28	406	13621
29	420	13584
30	433	13551
31	447	13529
32	460	13496
33	475	13498
34	488	13460
35	501	13439
36	514	13394
37	529	13392
38	542	13375
39	556	13361
40	571	13360
41	587	13394
42	600	13372
43	615	13371
44	629	13350
45	642	13334
46	656	13305
47	670	13293
48	683	13274
49	697	13243
50	710	13211
51	723	13192
52	737	13177
53	749	13138
54	763	13122
55	779	13131
56	793	13130
57	807	13122
58	822	13117
59	835	13088
60	848	13063
61	862	13041
62	875	13020
63	888	12989
64	902	12981
65	916	12963
66	930	12951
67	943	12932
68	957	12917
69	970	12900
70	988	12932
71	1004	12951
72	1020	12958
73	1034	12949
74	1047	12921
75	1060	12892
76	1072	12860
77	1085	12831
78	1097	12796
79	1110	12768
80	1123	12745
81	1135	12713
82	1148	12689
83	1162	12674
84	1177	12670
85	1191	12663
86	1206	12661
87	1220	12643
88	1233	12630
89	1246	12602
90	1259	12582
91	1272	12561
92	1286	12542
93	1298	12515
94	1312	12502
95	1324	12474
96	1337	12448
97	1350	12433
98	1366	12435
99	1380	12422
100	1394	12412
101	1407	12392
102	1420	12368
103	1435	12363
104	1448	12343
105	1461	12326
106	1474	12305
107	1487	12288
108	1502	12283
109	1515	12261
110	1529	12247
111	1543	12239
112	1557	12227
113	1572	12218
114	1585	12205
115	1601	12205
116	1616	12203
117	1631	12193
118	1645	12180
119	1659	12167
120	1673	12158
121	1687	12146
122	1701	12132
123	1716	12128
124	1731	12120
125	1746	12116
126	1759	12098
127	1776	12100
128	1789	12084
129	1802	12066
130	1816	12052
131	1831	12044
132	1846	12038
133	1863	12042
134	1878	12038
135	1892	12022
136	1906	12008
137	1919	11990
138	1932	11968
139	1948	11966
140	1963	11959
141	1981	11971
142	1999	11980
143	2013	11968
144	2027	11956
145	2042	11949
146	2056	11933
147	2070	11920
148	2083	11901
149	2096	11878
150	2108	11852
151	2121	11836
152	2133	11812
153	2148	11804
154	2162	11789
155	2177	11779
156	2190	11759
157	2203	11741
158	2215	11720
159	2228	11701
160	2240	11675
161	2253	11658
162	2267	11643
163	2281	11630
164	2296	11621
165	2309	11602
166	2323	11590
167	2338	11581
168	2353	11570
169	2368	11566
170	2382	11549
171	2395	11531
172	2409	11518
173	2423	11502
